Abbrev,TeamName,Conference,Lat,Long,Domed
ARI,Cardinals,NFC,33.5277,-112.262608,1
ATL,Falcons,NFC,33.757614,-84.400972,1
BAL,Ravens,AFC,39.277969,-76.622767,0
BUF,Bills,AFC,42.773739,-78.786978,0
CAR,Panthers,NFC,35.225808,-80.852861,0
CHI,Bears,NFC,41.862306,-87.616672,0
CIN,Bengals,AFC,39.095442,-84.516039,0
CLE,Browns,AFC,41.506022,-81.699564,0
DAL,Cowboys,NFC,32.747778,-97.092778,1
DEN,Broncos,AFC,39.743936,-105.020097,0
DET,Lions,NFC,42.340156,-83.045808,1
GB,Packers,NFC,44.501306,-88.062167,0
HOU,Texans,AFC,29.684781,-95.410956,1
IND,Colts,AFC,39.760056,-86.163806,1
JAC,Jaguars,AFC,30.323925,-81.637356,0
KC,Chiefs,AFC,39.048914,-94.484039,0
MIA,Dolphins,AFC,25.957919,-80.238842,0
MIN,Vikings,NFC,44.973881,-93.258094,1
NE,Patriots,AFC,42.090925,-71.26435,0
NO,Saints,NFC,29.950931,-90.081364,1
NYG,Giants,NFC,40.812194,-74.076983,0
NYJ,Jets,AFC,40.812194,-74.076983,0
OAK,Raiders,AFC,37.751411,-122.200889,0
PHI,Eagles,NFC,39.900775,-75.167453,0
PIT,Steelers,AFC,40.446786,-80.015761,0
SD,Chargers,AFC,32.783117,-117.119525,0
SEA,Seahawks,NFC,47.595153,-122.331625,0
SF,Forty-Niners,NFC,37.713486,-122.386256,0
STL,Rams,NFC,38.632975,-90.188547,1
TB,Buccaneers,NFC,27.975967,-82.50335,0
TEN,Titans,AFC,36.166461,-86.771289,0
WAS,Redskins,NFC,38.907697,-76.864517,0
